Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,0.077,0,0.0,0.0,0.0,0.0,7.7,7.7,0.0,50.0
3,0.125,0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,33.33
4,0.2,0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,25.0
5,0.24,0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,20.0
6,0.25,0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,16.67
7,0.25,0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,28.57
8,0.25,0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,37.5
9,0.24,0,100.0,0.0,0.0,0.0,25.0,22.15,0.11,33.33
10,0.25,0,100.0,0.0,0.0,0.0,25.0,23.15,0.1,30.0
11,0.28,0,100.0,0.0,0.0,0.0,28.0,26.13,0.09,27.27
12,0.333,0,100.0,0.0,0.0,0.0,33.3,31.41,0.08,25.0
13,0.4,0,100.0,0.0,0.0,0.0,40.0,38.1,0.08,23.08
14,0.333,0,100.0,0.0,0.0,0.0,40.0,22.77,0.55,21.43
15,0.654,0,100.0,100.0,0.0,0.0,65.4,52.94,0.51,20.0
16,0.75,0,100.0,100.0,100.0,0.0,75.0,62.22,0.48,18.75
17,0.8,0,100.0,100.0,100.0,0.0,80.0,67.09,0.45,17.65
18,0.962,0,100.0,100.0,100.0,0.0,96.2,82.93,0.43,16.67
19,0.962,0,100.0,100.0,100.0,0.0,96.2,82.93,0.41,21.05
20,0.962,0,100.0,100.0,100.0,0.0,96.2,82.93,0.39,25.0
21,0.962,0,100.0,100.0,100.0,0.0,96.2,82.93,0.37,28.57
22,0.96,0,100.0,100.0,100.0,0.0,96.2,82.43,0.36,31.82
23,0.964,0,100.0,100.0,100.0,0.0,96.4,82.82,0.34,34.78
24,0.962,0,100.0,100.0,100.0,0.0,96.4,82.33,0.34,37.5
25,0.962,0,100.0,100.0,100.0,0.0,96.4,82.33,0.33,40.0
26,0.962,0,100.0,100.0,100.0,0.0,96.4,82.33,0.33,42.31
27,0.962,0,100.0,100.0,100.0,0.0,96.4,82.33,0.32,44.44
28,0.962,0,100.0,100.0,100.0,0.0,96.4,82.33,0.32,46.43
