Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.062,0,0.0,0.0,0.0,0.0,6.2,6.2,0.0,0.0
2,0.125,0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0
3,0.267,0,100.0,0.0,0.0,0.0,26.7,26.7,0.0,0.0
4,0.267,0,100.0,0.0,0.0,0.0,26.7,26.7,0.0,25.0
5,0.333,0,100.0,0.0,0.0,0.0,33.3,33.3,0.0,20.0
6,0.333,0,100.0,0.0,0.0,0.0,33.3,33.3,0.0,33.33
7,0.333,0,100.0,0.0,0.0,0.0,33.3,33.3,0.0,42.86
8,0.5,0,100.0,100.0,0.0,0.0,50.0,50.0,0.0,37.5
9,0.333,0,100.0,100.0,0.0,0.0,50.0,16.63,1.86,33.33
10,0.667,0,100.0,100.0,0.0,0.0,66.7,44.44,1.67,30.0
11,0.857,0,100.0,100.0,100.0,0.0,85.7,61.67,1.52,27.27
12,0.857,0,100.0,100.0,100.0,0.0,85.7,61.67,1.39,33.33
13,0.812,0,100.0,100.0,100.0,0.0,85.7,53.34,1.63,30.77
14,0.857,0,100.0,100.0,100.0,0.0,85.7,57.33,1.51,28.57
15,0.875,0,100.0,100.0,100.0,0.0,87.5,58.94,1.41,26.67
16,0.857,0,100.0,100.0,100.0,0.0,87.5,55.77,1.44,25.0
17,0.812,0,100.0,100.0,100.0,0.0,87.5,48.41,1.72,23.53
18,0.812,0,100.0,100.0,100.0,0.0,87.5,48.41,1.98,27.78
19,0.857,0,100.0,100.0,100.0,0.0,87.5,52.2,1.97,26.32
20,0.857,0,100.0,100.0,100.0,0.0,87.5,52.2,1.96,30.0
21,0.833,0,100.0,100.0,100.0,0.0,87.5,48.49,2.07,28.57
22,0.75,0,100.0,100.0,100.0,0.0,87.5,37.15,2.54,27.27
23,0.75,0,100.0,100.0,100.0,0.0,87.5,37.15,2.97,30.43
24,0.667,0,100.0,100.0,100.0,0.0,87.5,27.86,3.72,29.17
25,0.667,0,100.0,100.0,100.0,0.0,87.5,27.86,4.4,32.0
26,0.5,0,100.0,100.0,100.0,0.0,87.5,14.17,5.67,30.77
27,0.333,0,100.0,100.0,100.0,0.0,87.5,5.74,7.47,29.63
28,0.5,0,100.0,100.0,100.0,0.0,87.5,11.92,8.54,28.57
29,0.333,0,100.0,100.0,100.0,0.0,87.5,4.9,10.12,27.59
30,0.5,0,100.0,100.0,100.0,0.0,87.5,10.28,11.03,26.67
