Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.034,1,0.0,0.0,0.0,0.0,3.4,3.4,0.0,0.0
2,0.033,1,0.0,0.0,0.0,0.0,3.4,3.11,0.05,50.0
3,0.033,1,0.0,0.0,0.0,0.0,3.4,3.11,0.07,66.67
4,0.034,1,0.0,0.0,0.0,0.0,3.4,3.21,0.05,75.0
5,0.033,1,0.0,0.0,0.0,0.0,3.4,2.94,0.06,80.0
6,0.069,1,0.0,0.0,0.0,0.0,6.9,6.52,0.05,66.67
7,0.152,1,0.0,0.0,0.0,0.0,15.2,14.81,0.04,57.14
8,0.188,1,0.0,0.0,0.0,0.0,18.8,18.41,0.04,50.0
9,0.25,1,100.0,0.0,0.0,0.0,25.0,24.61,0.03,44.44
10,0.25,1,100.0,0.0,0.0,0.0,25.0,24.61,0.03,50.0
11,0.25,1,100.0,0.0,0.0,0.0,25.0,24.61,0.03,54.55
12,0.25,1,100.0,0.0,0.0,0.0,25.0,24.61,0.03,58.33
13,0.25,1,100.0,0.0,0.0,0.0,25.0,24.61,0.02,61.54
14,0.333,1,100.0,0.0,0.0,0.0,33.3,32.9,0.02,57.14
15,0.355,1,100.0,0.0,0.0,0.0,35.5,35.1,0.02,53.33
16,0.355,1,100.0,0.0,0.0,0.0,35.5,35.1,0.02,56.25
17,0.333,1,100.0,0.0,0.0,0.0,35.5,29.1,0.15,52.94
18,0.25,1,100.0,0.0,0.0,0.0,35.5,13.47,0.72,50.0
19,0.367,1,100.0,0.0,0.0,0.0,36.7,23.18,0.68,47.37
20,0.345,1,100.0,0.0,0.0,0.0,36.7,19.74,0.76,45.0
21,0.355,1,100.0,0.0,0.0,0.0,36.7,20.56,0.78,42.86
22,0.387,1,100.0,0.0,0.0,0.0,38.7,23.22,0.75,40.91
23,0.419,1,100.0,0.0,0.0,0.0,41.9,25.93,0.71,39.13
24,0.484,1,100.0,0.0,0.0,0.0,48.4,31.57,0.68,37.5
25,0.484,1,100.0,0.0,0.0,0.0,48.4,31.57,0.66,40.0
26,0.484,1,100.0,0.0,0.0,0.0,48.4,31.57,0.63,42.31
27,0.484,1,100.0,0.0,0.0,0.0,48.4,31.57,0.61,44.44
28,0.419,1,100.0,0.0,0.0,0.0,48.4,21.75,0.82,42.86
29,0.4,1,100.0,0.0,0.0,0.0,48.4,19.37,1.08,41.38
30,0.484,1,100.0,0.0,0.0,0.0,48.4,25.74,1.04,40.0
31,0.433,1,100.0,0.0,0.0,0.0,48.4,19.51,1.17,38.71
32,0.419,1,100.0,0.0,0.0,0.0,48.4,18.01,1.34,37.5
33,0.333,1,100.0,0.0,0.0,0.0,48.4,10.45,1.76,36.36
34,0.25,1,100.0,0.0,0.0,0.0,48.4,5.46,2.39,35.29
35,0.25,1,100.0,0.0,0.0,0.0,48.4,5.46,2.99,37.14
36,0.75,1,100.0,100.0,100.0,0.0,75.0,34.22,2.91,36.11
37,0.656,1,100.0,100.0,100.0,0.0,75.0,24.76,3.09,35.14
38,0.625,1,100.0,100.0,100.0,0.0,75.0,22.08,3.33,34.21
39,0.667,1,100.0,100.0,100.0,0.0,75.0,24.57,3.46,33.33
40,0.75,1,100.0,100.0,100.0,0.0,75.0,29.7,3.38,32.5
41,0.829,1,100.0,100.0,100.0,0.0,82.9,34.83,3.29,31.71
42,0.833,1,100.0,100.0,100.0,0.0,83.3,35.1,3.21,33.33
43,0.8,1,100.0,100.0,100.0,0.0,83.3,31.84,3.22,32.56
44,0.75,1,100.0,100.0,100.0,0.0,83.3,27.31,3.33,31.82
45,0.829,1,100.0,100.0,100.0,0.0,83.3,32.13,3.27,31.11
46,0.75,1,100.0,100.0,100.0,0.0,83.3,25.36,3.38,30.43
