Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.042,0,0.0,0.0,0.0,0.0,4.2,4.2,0.0,0.0
2,0.042,0,0.0,0.0,0.0,0.0,4.2,4.2,0.0,50.0
3,0.083,0,0.0,0.0,0.0,0.0,8.3,8.3,0.0,33.33
4,0.13,0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,25.0
5,0.2,0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0
6,0.24,0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,16.67
7,0.125,0,0.0,0.0,0.0,0.0,24.0,4.4,1.64,14.29
8,0.13,0,0.0,0.0,0.0,0.0,24.0,4.69,2.81,12.5
9,0.24,0,0.0,0.0,0.0,0.0,24.0,12.26,2.5,11.11
10,0.25,0,100.0,0.0,0.0,0.0,25.0,13.02,2.25,10.0
11,0.217,0,100.0,0.0,0.0,0.0,25.0,9.18,2.35,9.09
12,0.348,0,100.0,0.0,0.0,0.0,34.8,18.8,2.15,8.33
13,0.2,0,100.0,0.0,0.0,0.0,34.8,5.05,3.12,7.69
14,0.25,0,100.0,0.0,0.0,0.0,34.8,7.42,3.6,7.14
15,0.16,0,100.0,0.0,0.0,0.0,34.8,2.75,4.61,6.67
16,0.2,0,100.0,0.0,0.0,0.0,34.8,4.12,5.25,6.25
17,0.24,0,100.0,0.0,0.0,0.0,34.8,5.69,5.58,5.88
18,0.2,0,100.0,0.0,0.0,0.0,34.8,3.8,6.09,5.56
19,0.2,0,100.0,0.0,0.0,0.0,34.8,3.8,6.55,10.53
20,0.304,0,100.0,0.0,0.0,0.0,34.8,7.99,6.44,10.0
21,0.25,0,100.0,0.0,0.0,0.0,34.8,5.17,6.6,9.52
22,0.2,0,100.0,0.0,0.0,0.0,34.8,3.17,6.97,9.09
23,0.16,0,100.0,0.0,0.0,0.0,34.8,1.97,7.49,8.7
24,0.2,0,100.0,0.0,0.0,0.0,34.8,2.99,7.79,8.33
25,0.25,0,100.0,0.0,0.0,0.0,34.8,4.5,7.87,8.0
26,0.125,0,100.0,0.0,0.0,0.0,34.8,1.03,8.43,7.69
27,0.125,0,100.0,0.0,0.0,0.0,34.8,1.03,8.94,11.11
28,0.2,0,100.0,0.0,0.0,0.0,34.8,2.52,9.15,10.71
29,0.2,0,100.0,0.0,0.0,0.0,34.8,2.52,9.34,13.79
30,0.125,0,100.0,0.0,0.0,0.0,34.8,0.94,9.78,13.33
31,0.12,0,100.0,0.0,0.0,0.0,34.8,0.86,10.2,12.9
32,0.08,0,100.0,0.0,0.0,0.0,34.8,0.37,10.72,12.5
33,0.25,0,100.0,0.0,0.0,0.0,34.8,3.32,10.69,12.12
34,0.125,0,100.0,0.0,0.0,0.0,34.8,0.78,11.03,11.76
35,0.16,0,100.0,0.0,0.0,0.0,34.8,1.25,11.25,11.43
36,0.12,0,100.0,0.0,0.0,0.0,34.8,0.69,11.57,11.11
37,0.25,0,100.0,0.0,0.0,0.0,34.8,2.83,11.52,10.81
38,0.2,0,100.0,0.0,0.0,0.0,34.8,1.77,11.61,10.53
39,0.25,0,100.0,0.0,0.0,0.0,34.8,2.71,11.56,10.26
40,0.16,0,100.0,0.0,0.0,0.0,34.8,1.07,11.74,10.0
41,0.2,0,100.0,0.0,0.0,0.0,34.8,1.64,11.82,9.76
42,0.125,0,100.0,0.0,0.0,0.0,34.8,0.62,12.07,9.52
43,0.12,0,100.0,0.0,0.0,0.0,34.8,0.57,12.32,9.3
44,0.16,0,100.0,0.0,0.0,0.0,34.8,1.0,12.47,9.09
45,0.16,0,100.0,0.0,0.0,0.0,34.8,1.0,12.61,11.11
46,0.2,0,100.0,0.0,0.0,0.0,34.8,1.54,12.65,10.87
47,0.25,0,100.0,0.0,0.0,0.0,34.8,2.36,12.59,10.64
48,0.2,0,100.0,0.0,0.0,0.0,34.8,1.48,12.64,10.42
49,0.2,0,100.0,0.0,0.0,0.0,34.8,1.48,12.68,12.24
50,0.125,0,100.0,0.0,0.0,0.0,34.8,0.56,12.88,12.0
51,0.2,0,100.0,0.0,0.0,0.0,34.8,1.4,12.91,11.76
