Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.053,0,0.0,0.0,0.0,0.0,5.3,5.3,0.0,0.0
2,0.053,0,0.0,0.0,0.0,0.0,5.3,5.3,0.0,50.0
3,0.053,0,0.0,0.0,0.0,0.0,5.3,5.3,0.0,66.67
4,0.056,0,0.0,0.0,0.0,0.0,5.6,5.6,0.0,75.0
5,0.056,0,0.0,0.0,0.0,0.0,5.6,5.6,0.0,80.0
6,0.059,0,0.0,0.0,0.0,0.0,5.9,5.9,0.0,83.33
7,0.111,0,0.0,0.0,0.0,0.0,11.1,11.1,0.0,71.43
8,0.111,0,0.0,0.0,0.0,0.0,11.1,11.1,0.0,75.0
9,0.188,0,0.0,0.0,0.0,0.0,18.8,18.8,0.0,66.67
10,0.25,0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,60.0
11,0.111,0,100.0,0.0,0.0,0.0,25.0,3.17,1.26,54.55
12,0.25,0,100.0,0.0,0.0,0.0,25.0,11.84,1.16,50.0
13,0.526,0,100.0,100.0,0.0,0.0,52.6,34.41,1.07,46.15
14,0.667,0,100.0,100.0,0.0,0.0,66.7,47.08,0.99,42.86
15,0.727,0,100.0,100.0,0.0,0.0,72.7,52.59,0.93,40.0
16,0.8,0,100.0,100.0,100.0,0.0,80.0,59.37,0.87,37.5
17,0.762,0,100.0,100.0,100.0,0.0,80.0,52.03,1.04,35.29
18,0.0,0,100.0,100.0,100.0,0.0,80.0,0.0,5.43,33.33
19,0.762,0,100.0,100.0,100.0,0.0,80.0,21.99,5.34,31.58
20,0.8,0,100.0,100.0,100.0,0.0,80.0,23.9,5.08,30.0
21,0.0,0,100.0,100.0,100.0,0.0,80.0,0.0,8.64,28.57
22,0.0,0,100.0,100.0,100.0,0.0,80.0,0.0,11.89,31.82
23,0.0,0,100.0,100.0,100.0,0.0,80.0,0.0,14.85,34.78
24,0.0,0,100.0,100.0,100.0,0.0,80.0,0.0,17.56,37.5
25,0.0,0,100.0,100.0,100.0,0.0,80.0,0.0,20.06,40.0
26,0.053,0,100.0,100.0,100.0,0.0,80.0,0.08,22.16,38.46
27,0.0,0,100.0,100.0,100.0,0.0,80.0,0.0,24.3,37.04
28,0.053,0,100.0,100.0,100.0,0.0,80.0,0.08,26.1,35.71
29,0.056,0,100.0,100.0,100.0,0.0,80.0,0.09,27.77,37.93
30,0.053,0,100.0,100.0,100.0,0.0,80.0,0.08,29.33,40.0
31,0.75,0,100.0,100.0,100.0,0.0,80.0,12.96,28.55,38.71
32,0.0,0,100.0,100.0,100.0,0.0,80.0,0.0,30.16,37.5
33,0.0,0,100.0,100.0,100.0,0.0,80.0,0.0,31.67,39.39
34,0.053,0,100.0,100.0,100.0,0.0,80.0,0.05,32.93,38.24
35,0.842,0,100.0,100.0,100.0,0.0,84.2,11.95,31.99,37.14
36,0.0,0,100.0,100.0,100.0,0.0,84.2,0.0,33.44,36.11
37,0.0,0,100.0,100.0,100.0,0.0,84.2,0.0,34.81,37.84
38,0.75,0,100.0,100.0,100.0,0.0,84.2,7.48,34.14,36.84
39,0.842,0,100.0,100.0,100.0,0.0,84.2,9.31,33.26,35.9
40,0.722,0,100.0,100.0,100.0,0.0,84.2,6.74,32.73,35.0
41,0.0,0,100.0,100.0,100.0,0.0,84.2,0.0,33.99,34.15
42,0.0,0,100.0,100.0,100.0,0.0,84.2,0.0,35.18,35.71
43,0.75,0,100.0,100.0,100.0,0.0,84.2,6.11,34.58,34.88
44,0.762,0,100.0,100.0,100.0,0.0,84.2,6.3,33.98,34.09
45,0.75,0,100.0,100.0,100.0,0.0,84.2,6.09,33.42,33.33
46,0.842,0,100.0,100.0,100.0,0.0,84.2,7.6,32.7,32.61
47,0.789,0,100.0,100.0,100.0,0.0,84.2,6.64,32.11,31.91
48,0.842,0,100.0,100.0,100.0,0.0,84.2,7.52,31.45,31.25
49,0.842,0,100.0,100.0,100.0,0.0,84.2,7.52,30.8,32.65
50,0.842,0,100.0,100.0,100.0,0.0,84.2,7.52,30.19,34.0
51,0.765,0,100.0,100.0,100.0,0.0,84.2,6.16,29.75,33.33
52,0.8,0,100.0,100.0,100.0,0.0,84.2,6.71,29.26,32.69
53,0.895,0,100.0,100.0,100.0,0.0,89.5,8.31,28.7,32.08
54,0.75,0,100.0,100.0,100.0,0.0,89.5,5.75,28.44,31.48
55,0.789,0,100.0,100.0,100.0,0.0,89.5,6.34,28.12,30.91
56,0.842,0,100.0,100.0,100.0,0.0,89.5,7.18,27.71,30.36
57,0.8,0,100.0,100.0,100.0,0.0,89.5,6.45,27.39,29.82
58,0.8,0,100.0,100.0,100.0,0.0,89.5,6.45,27.08,31.03
59,0.75,0,100.0,100.0,100.0,0.0,89.5,5.64,26.87,30.51
60,0.8,0,100.0,100.0,100.0,0.0,89.5,6.39,26.58,30.0
61,0.842,0,100.0,100.0,100.0,0.0,89.5,7.05,26.23,29.51
62,0.842,0,100.0,100.0,100.0,0.0,89.5,7.05,25.89,30.65
63,0.8,0,100.0,100.0,100.0,0.0,89.5,6.34,25.63,30.16
64,0.8,0,100.0,100.0,100.0,0.0,89.5,6.34,25.38,31.25
65,0.8,0,100.0,100.0,100.0,0.0,89.5,6.34,25.14,32.31
66,0.8,0,100.0,100.0,100.0,0.0,89.5,6.34,24.9,33.33
67,0.8,0,100.0,100.0,100.0,0.0,89.5,6.34,24.67,34.33
68,0.778,0,100.0,100.0,100.0,0.0,89.5,5.98,24.48,33.82
69,0.773,0,100.0,100.0,100.0,0.0,89.5,5.9,24.3,33.33
70,0.75,0,100.0,100.0,100.0,0.0,89.5,5.54,24.16,32.86
71,0.8,0,100.0,100.0,100.0,0.0,89.5,6.27,23.95,32.39
72,0.8,0,100.0,100.0,100.0,0.0,89.5,6.27,23.75,33.33
73,0.789,0,100.0,100.0,100.0,0.0,89.5,6.1,23.57,32.88
74,0.8,0,100.0,100.0,100.0,0.0,89.5,6.26,23.38,32.43
