Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,0.05,1,0.0,0.0,0.0,0.0,5.0,5.0,0.0,50.0
3,0.053,1,0.0,0.0,0.0,0.0,5.3,5.3,0.0,66.67
4,0.053,1,0.0,0.0,0.0,0.0,5.3,5.3,0.0,75.0
5,0.056,1,0.0,0.0,0.0,0.0,5.6,5.6,0.0,80.0
6,0.053,1,0.0,0.0,0.0,0.0,5.6,4.76,0.05,83.33
7,0.053,1,0.0,0.0,0.0,0.0,5.6,4.76,0.09,85.71
8,0.111,1,0.0,0.0,0.0,0.0,11.1,10.53,0.08,75.0
9,0.111,1,0.0,0.0,0.0,0.0,11.1,10.53,0.07,77.78
10,0.1,1,0.0,0.0,0.0,0.0,11.1,7.81,0.17,70.0
11,0.143,1,0.0,0.0,0.0,0.0,14.3,11.96,0.15,63.64
12,0.19,1,0.0,0.0,0.0,0.0,19.0,16.56,0.14,58.33
13,0.333,1,100.0,0.0,0.0,0.0,33.3,30.72,0.13,53.85
14,0.263,1,100.0,0.0,0.0,0.0,33.3,16.05,0.62,50.0
15,0.474,1,100.0,0.0,0.0,0.0,47.4,35.0,0.58,46.67
16,0.474,1,100.0,0.0,0.0,0.0,47.4,35.0,0.54,50.0
17,0.5,1,100.0,100.0,0.0,0.0,50.0,37.43,0.51,47.06
18,0.5,1,100.0,100.0,0.0,0.0,50.0,37.43,0.48,50.0
19,0.474,1,100.0,100.0,0.0,0.0,50.0,32.37,0.59,47.37
20,0.526,1,100.0,100.0,0.0,0.0,52.6,37.09,0.56,45.0
21,0.5,1,100.0,100.0,0.0,0.0,52.6,32.38,0.66,42.86
22,0.632,1,100.0,100.0,0.0,0.0,63.2,44.18,0.63,40.91
23,0.684,1,100.0,100.0,0.0,0.0,68.4,48.94,0.6,39.13
24,0.65,1,100.0,100.0,0.0,0.0,68.4,42.68,0.72,37.5
25,0.667,1,100.0,100.0,0.0,0.0,68.4,44.18,0.76,36.0
26,0.667,1,100.0,100.0,0.0,0.0,68.4,44.18,0.8,38.46
27,0.737,1,100.0,100.0,0.0,0.0,73.7,50.43,0.77,37.04
28,0.75,1,100.0,100.0,100.0,0.0,75.0,51.61,0.74,35.71
29,0.778,1,100.0,100.0,100.0,0.0,77.8,54.14,0.71,34.48
30,0.789,1,100.0,100.0,100.0,0.0,78.9,55.14,0.69,33.33
31,0.773,1,100.0,100.0,100.0,0.0,78.9,52.19,0.72,32.26
32,0.842,1,100.0,100.0,100.0,0.0,84.2,58.4,0.7,31.25
33,1.0,1,100.0,100.0,100.0,100.0,100.0,72.89,0.68,30.3
