Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,0.053,1,0.0,0.0,0.0,0.0,5.3,5.3,0.0,50.0
3,0.053,1,0.0,0.0,0.0,0.0,5.3,5.3,0.0,66.67
4,0.053,1,0.0,0.0,0.0,0.0,5.3,5.3,0.0,75.0
5,0.05,1,0.0,0.0,0.0,0.0,5.3,4.46,0.06,80.0
6,0.053,1,0.0,0.0,0.0,0.0,5.3,4.76,0.05,83.33
7,0.111,1,0.0,0.0,0.0,0.0,11.1,10.53,0.04,71.43
8,0.235,1,0.0,0.0,0.0,0.0,23.5,22.91,0.04,62.5
9,0.235,1,0.0,0.0,0.0,0.0,23.5,22.91,0.03,66.67
10,0.25,1,100.0,0.0,0.0,0.0,25.0,24.41,0.03,60.0
11,0.263,1,100.0,0.0,0.0,0.0,26.3,25.71,0.03,54.55
12,0.476,1,100.0,0.0,0.0,0.0,47.6,47.01,0.02,50.0
13,0.235,1,100.0,0.0,0.0,0.0,47.6,7.64,1.88,46.15
14,0.5,1,100.0,100.0,0.0,0.0,50.0,25.3,1.74,42.86
15,0.333,1,100.0,100.0,0.0,0.0,50.0,9.6,2.74,40.0
16,0.294,1,100.0,100.0,0.0,0.0,50.0,7.24,3.86,37.5
17,0.294,1,100.0,100.0,0.0,0.0,50.0,7.24,4.84,41.18
18,0.579,1,100.0,100.0,0.0,0.0,57.9,22.67,4.57,38.89
19,0.381,1,100.0,100.0,0.0,0.0,57.9,8.66,5.37,36.84
20,0.647,1,100.0,100.0,0.0,0.0,64.7,21.54,5.1,35.0
21,0.737,1,100.0,100.0,0.0,0.0,73.7,26.72,4.86,33.33
22,0.75,1,100.0,100.0,100.0,0.0,75.0,27.49,4.64,31.82
23,0.789,1,100.0,100.0,100.0,0.0,78.9,29.86,4.44,30.43
24,0.737,1,100.0,100.0,100.0,0.0,78.9,25.42,4.47,29.17
25,0.8,1,100.0,100.0,100.0,0.0,80.0,29.09,4.29,28.0
26,0.737,1,100.0,100.0,100.0,0.0,80.0,24.0,4.37,26.92
27,0.75,1,100.0,100.0,100.0,0.0,80.0,24.71,4.39,25.93
28,0.667,1,100.0,100.0,100.0,0.0,80.0,18.86,4.71,25.0
29,1.0,1,100.0,100.0,100.0,100.0,100.0,37.15,4.55,24.14
