Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.034,1,0.0,0.0,0.0,0.0,3.4,3.4,0.0,0.0
2,0.034,1,0.0,0.0,0.0,0.0,3.4,3.4,0.0,50.0
3,0.069,1,0.0,0.0,0.0,0.0,6.9,6.9,0.0,33.33
4,0.1,1,0.0,0.0,0.0,0.0,10.0,10.0,0.0,25.0
5,0.1,1,0.0,0.0,0.0,0.0,10.0,10.0,0.0,40.0
6,0.129,1,0.0,0.0,0.0,0.0,12.9,12.9,0.0,33.33
7,0.161,1,0.0,0.0,0.0,0.0,16.1,16.1,0.0,28.57
8,0.194,1,0.0,0.0,0.0,0.0,19.4,19.4,0.0,25.0
9,0.2,1,0.0,0.0,0.0,0.0,20.0,20.0,0.0,22.22
10,0.25,1,100.0,0.0,0.0,0.0,25.0,25.0,0.0,20.0
11,0.323,1,100.0,0.0,0.0,0.0,32.3,32.3,0.0,18.18
12,0.25,1,100.0,0.0,0.0,0.0,32.3,15.78,0.61,16.67
13,0.333,1,100.0,0.0,0.0,0.0,33.3,23.15,0.56,15.38
14,0.333,1,100.0,0.0,0.0,0.0,33.3,23.15,0.52,21.43
15,0.355,1,100.0,0.0,0.0,0.0,35.5,25.15,0.49,20.0
16,0.333,1,100.0,0.0,0.0,0.0,35.5,21.2,0.59,18.75
17,0.355,1,100.0,0.0,0.0,0.0,35.5,23.12,0.56,17.65
18,0.355,1,100.0,0.0,0.0,0.0,35.5,23.12,0.53,22.22
19,0.355,1,100.0,0.0,0.0,0.0,35.5,23.12,0.5,26.32
20,0.419,1,100.0,0.0,0.0,0.0,41.9,28.83,0.47,25.0
21,0.438,1,100.0,0.0,0.0,0.0,43.8,30.55,0.45,23.81
22,0.394,1,100.0,0.0,0.0,0.0,43.8,23.1,0.63,22.73
23,0.429,1,100.0,0.0,0.0,0.0,43.8,26.03,0.64,21.74
24,0.419,1,100.0,0.0,0.0,0.0,43.8,24.49,0.7,20.83
25,0.4,1,100.0,0.0,0.0,0.0,43.8,21.74,0.82,20.0
26,0.419,1,100.0,0.0,0.0,0.0,43.8,23.25,0.86,19.23
27,0.484,1,100.0,0.0,0.0,0.0,48.4,28.57,0.83,18.52
28,0.5,1,100.0,100.0,0.0,0.0,50.0,29.9,0.8,17.86
