Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.08,0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0
2,0.16,0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0
3,0.16,0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,33.33
4,0.185,0,0.0,0.0,0.0,0.0,18.5,18.5,0.0,25.0
5,0.185,0,0.0,0.0,0.0,0.0,18.5,18.5,0.0,40.0
6,0.2,0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,33.33
7,0.208,0,0.0,0.0,0.0,0.0,20.8,20.8,0.0,28.57
8,0.25,0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0
9,0.478,0,100.0,0.0,0.0,0.0,47.8,47.8,0.0,22.22
10,0.478,0,100.0,0.0,0.0,0.0,47.8,47.8,0.0,30.0
11,0.478,0,100.0,0.0,0.0,0.0,47.8,47.8,0.0,36.36
12,0.5,0,100.0,100.0,0.0,0.0,50.0,50.0,0.0,33.33
13,0.48,0,100.0,100.0,0.0,0.0,50.0,44.31,0.15,30.77
14,0.478,0,100.0,100.0,0.0,0.0,50.0,43.77,0.3,35.71
15,0.478,0,100.0,100.0,0.0,0.0,50.0,43.77,0.43,40.0
16,0.478,0,100.0,100.0,0.0,0.0,50.0,43.77,0.54,43.75
17,0.5,0,100.0,100.0,0.0,0.0,50.0,45.96,0.51,41.18
18,0.5,0,100.0,100.0,0.0,0.0,50.0,45.96,0.48,44.44
19,0.5,0,100.0,100.0,0.0,0.0,50.0,45.96,0.45,47.37
20,0.478,0,100.0,100.0,0.0,0.0,50.0,40.37,0.54,45.0
21,0.542,0,100.0,100.0,0.0,0.0,54.2,46.63,0.51,42.86
22,0.542,0,100.0,100.0,0.0,0.0,54.2,46.63,0.49,45.45
23,0.478,0,100.0,100.0,0.0,0.0,54.2,32.92,0.75,43.48
24,0.5,0,100.0,100.0,0.0,0.0,54.2,34.92,0.89,41.67
25,0.5,0,100.0,100.0,0.0,0.0,54.2,34.92,1.02,44.0
26,0.5,0,100.0,100.0,0.0,0.0,54.2,34.92,1.15,46.15
27,0.5,0,100.0,100.0,0.0,0.0,54.2,34.92,1.26,48.15
28,0.458,0,100.0,100.0,0.0,0.0,54.2,27.67,1.51,46.43
29,0.478,0,100.0,100.0,0.0,0.0,54.2,29.37,1.68,44.83
30,0.5,0,100.0,100.0,0.0,0.0,54.2,31.25,1.77,43.33
31,0.458,0,100.0,100.0,0.0,0.0,54.2,24.91,1.98,41.94
32,0.478,0,100.0,100.0,0.0,0.0,54.2,26.51,2.12,40.62
33,0.458,0,100.0,100.0,0.0,0.0,54.2,23.78,2.31,39.39
34,0.5,0,100.0,100.0,0.0,0.0,54.2,27.06,2.36,38.24
35,0.5,0,100.0,100.0,0.0,0.0,54.2,27.06,2.42,40.0
36,0.5,0,100.0,100.0,0.0,0.0,54.2,27.06,2.47,41.67
37,0.5,0,100.0,100.0,0.0,0.0,54.2,27.06,2.51,43.24
38,0.5,0,100.0,100.0,0.0,0.0,54.2,27.06,2.56,44.74
39,0.5,0,100.0,100.0,0.0,0.0,54.2,27.06,2.6,46.15
40,0.478,0,100.0,100.0,0.0,0.0,54.2,24.15,2.7,45.0
41,0.5,0,100.0,100.0,0.0,0.0,54.2,25.83,2.73,43.9
42,0.48,0,100.0,100.0,0.0,0.0,54.2,23.32,2.81,42.86
43,0.5,0,100.0,100.0,0.0,0.0,54.2,24.8,2.85,41.86
44,0.478,0,100.0,100.0,0.0,0.0,54.2,22.18,2.93,40.91
45,0.458,0,100.0,100.0,0.0,0.0,54.2,19.98,3.05,40.0
46,0.478,0,100.0,100.0,0.0,0.0,54.2,21.35,3.12,39.13
47,0.478,0,100.0,100.0,0.0,0.0,54.2,21.35,3.19,40.43
48,0.478,0,100.0,100.0,0.0,0.0,54.2,21.35,3.26,41.67
49,0.48,0,100.0,100.0,0.0,0.0,54.2,21.49,3.32,42.86
50,0.48,0,100.0,100.0,0.0,0.0,54.2,21.49,3.38,44.0
51,0.458,0,100.0,100.0,0.0,0.0,54.2,19.17,3.47,43.14
52,0.478,0,100.0,100.0,0.0,0.0,54.2,20.51,3.53,42.31
53,0.478,0,100.0,100.0,0.0,0.0,54.2,20.51,3.58,43.4
54,0.478,0,100.0,100.0,0.0,0.0,54.2,20.51,3.64,44.44
55,0.5,0,100.0,100.0,0.0,0.0,54.2,22.01,3.65,43.64
56,0.478,0,100.0,100.0,0.0,0.0,54.2,19.73,3.7,42.86
57,0.458,0,100.0,100.0,0.0,0.0,54.2,17.81,3.78,42.11
58,0.478,0,100.0,100.0,0.0,0.0,54.2,19.07,3.82,41.38
59,0.478,0,100.0,100.0,0.0,0.0,54.2,19.07,3.87,42.37
60,0.478,0,100.0,100.0,0.0,0.0,54.2,19.07,3.91,43.33
61,0.458,0,100.0,100.0,0.0,0.0,54.2,17.22,3.98,42.62
62,0.478,0,100.0,100.0,0.0,0.0,54.2,18.46,4.02,41.94
63,0.478,0,100.0,100.0,0.0,0.0,54.2,18.46,4.06,42.86
64,0.5,0,100.0,100.0,0.0,0.0,54.2,19.84,4.06,42.19
65,0.458,0,100.0,100.0,0.0,0.0,54.2,16.11,4.13,41.54
66,0.478,0,100.0,100.0,0.0,0.0,54.2,17.28,4.16,40.91
67,0.478,0,100.0,100.0,0.0,0.0,54.2,17.28,4.2,41.79
68,0.478,0,100.0,100.0,0.0,0.0,54.2,17.28,4.23,42.65
69,0.478,0,100.0,100.0,0.0,0.0,54.2,17.28,4.26,43.48
70,0.478,0,100.0,100.0,0.0,0.0,54.2,17.28,4.29,44.29
71,0.478,0,100.0,100.0,0.0,0.0,54.2,17.28,4.32,45.07
72,0.458,0,100.0,100.0,0.0,0.0,54.2,15.63,4.38,44.44
73,0.478,0,100.0,100.0,0.0,0.0,54.2,16.78,4.41,43.84
74,0.478,0,100.0,100.0,0.0,0.0,54.2,16.78,4.43,44.59
75,0.478,0,100.0,100.0,0.0,0.0,54.2,16.78,4.46,45.33
76,0.478,0,100.0,100.0,0.0,0.0,54.2,16.78,4.48,46.05
77,0.458,0,100.0,100.0,0.0,0.0,54.2,15.18,4.54,45.45
78,0.478,0,100.0,100.0,0.0,0.0,54.2,16.3,4.56,44.87
79,0.478,0,100.0,100.0,0.0,0.0,54.2,16.3,4.58,45.57
80,0.478,0,100.0,100.0,0.0,0.0,54.2,16.3,4.61,46.25
