Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.062,1,0.0,0.0,0.0,0.0,6.2,6.2,0.0,0.0
2,0.062,1,0.0,0.0,0.0,0.0,6.2,6.2,0.0,50.0
3,0.091,1,0.0,0.0,0.0,0.0,9.1,9.1,0.0,33.33
4,0.094,1,0.0,0.0,0.0,0.0,9.4,9.4,0.0,50.0
5,0.125,1,0.0,0.0,0.0,0.0,12.5,12.5,0.0,40.0
6,0.152,1,0.0,0.0,0.0,0.0,15.2,15.2,0.0,33.33
7,0.176,1,0.0,0.0,0.0,0.0,17.6,17.6,0.0,28.57
8,0.2,1,0.0,0.0,0.0,0.0,20.0,20.0,0.0,25.0
9,0.25,1,100.0,0.0,0.0,0.0,25.0,25.0,0.0,22.22
10,0.4,1,100.0,0.0,0.0,0.0,40.0,40.0,0.0,20.0
11,0.4,1,100.0,0.0,0.0,0.0,40.0,40.0,0.0,27.27
12,0.371,1,100.0,0.0,0.0,0.0,40.0,32.08,0.24,25.0
13,0.419,1,100.0,0.0,0.0,0.0,41.9,36.81,0.22,23.08
14,0.455,1,100.0,0.0,0.0,0.0,45.5,40.36,0.21,21.43
15,0.429,1,100.0,0.0,0.0,0.0,45.5,34.14,0.37,20.0
16,0.455,1,100.0,0.0,0.0,0.0,45.5,36.64,0.34,18.75
17,0.485,1,100.0,0.0,0.0,0.0,48.5,39.53,0.32,17.65
18,0.514,1,100.0,100.0,0.0,0.0,51.4,42.34,0.31,16.67
19,0.485,1,100.0,100.0,0.0,0.0,51.4,36.02,0.44,15.79
20,0.514,1,100.0,100.0,0.0,0.0,51.4,38.74,0.42,15.0
21,0.6,1,100.0,100.0,0.0,0.0,60.0,46.87,0.4,14.29
22,0.636,1,100.0,100.0,0.0,0.0,63.6,50.31,0.38,13.64
23,0.657,1,100.0,100.0,0.0,0.0,65.7,52.32,0.37,13.04
24,0.657,1,100.0,100.0,0.0,0.0,65.7,52.32,0.35,16.67
25,0.657,1,100.0,100.0,0.0,0.0,65.7,52.32,0.34,20.0
26,0.697,1,100.0,100.0,0.0,0.0,69.7,56.16,0.32,19.23
27,0.676,1,100.0,100.0,0.0,0.0,69.7,51.58,0.39,18.52
28,0.667,1,100.0,100.0,0.0,0.0,69.7,49.71,0.48,17.86
29,0.75,1,100.0,100.0,100.0,0.0,75.0,57.52,0.47,17.24
30,0.735,1,100.0,100.0,100.0,0.0,75.0,54.4,0.5,16.67
31,0.686,1,100.0,100.0,100.0,0.0,75.0,45.16,0.69,16.13
32,0.697,1,100.0,100.0,100.0,0.0,75.0,46.14,0.83,15.62
33,0.75,1,100.0,100.0,100.0,0.0,75.0,50.86,0.81,15.15
34,0.833,1,100.0,100.0,100.0,0.0,83.3,58.36,0.79,14.71
35,0.857,1,100.0,100.0,100.0,0.0,85.7,60.55,0.76,14.29
36,0.848,1,100.0,100.0,100.0,0.0,85.7,58.85,0.77,13.89
37,0.857,1,100.0,100.0,100.0,0.0,85.7,59.66,0.75,13.51
38,0.879,1,100.0,100.0,100.0,0.0,87.9,61.66,0.73,13.16
39,0.897,1,100.0,100.0,100.0,0.0,89.7,63.31,0.71,12.82
40,0.897,1,100.0,100.0,100.0,0.0,89.7,63.31,0.69,15.0
41,0.897,1,100.0,100.0,100.0,0.0,89.7,63.31,0.67,17.07
42,0.938,1,100.0,100.0,100.0,0.0,93.8,67.06,0.66,16.67
43,0.939,1,100.0,100.0,100.0,0.0,93.9,67.15,0.64,18.6
44,0.939,1,100.0,100.0,100.0,0.0,93.9,67.15,0.63,20.45
45,0.938,1,100.0,100.0,100.0,0.0,93.9,66.96,0.62,22.22
46,0.974,1,100.0,100.0,100.0,0.0,97.4,70.27,0.6,21.74
47,0.97,1,100.0,100.0,100.0,0.0,97.4,69.49,0.6,23.4
48,1.0,1,100.0,100.0,100.0,100.0,100.0,72.25,0.59,22.92
