Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.05,1,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
2,0.05,1,0.0,0.0,0.0,0.0,5.0,5.0,0.0,50.0
3,0.19,1,0.0,0.0,0.0,0.0,19.0,19.0,0.0,33.33
4,0.476,1,100.0,0.0,0.0,0.0,47.6,47.6,0.0,25.0
5,0.476,1,100.0,0.0,0.0,0.0,47.6,47.6,0.0,40.0
6,0.476,1,100.0,0.0,0.0,0.0,47.6,47.6,0.0,50.0
7,0.545,1,100.0,100.0,0.0,0.0,54.5,54.5,0.0,42.86
8,0.524,1,100.0,100.0,0.0,0.0,54.5,48.51,0.26,37.5
9,0.476,1,100.0,100.0,0.0,0.0,54.5,36.9,1.0,33.33
10,0.1,1,100.0,100.0,0.0,0.0,54.5,1.01,5.35,30.0
11,0.048,1,100.0,100.0,0.0,0.0,54.5,0.22,9.38,27.27
12,0.05,1,100.0,100.0,0.0,0.0,54.5,0.24,12.72,33.33
13,0.05,1,100.0,100.0,0.0,0.0,54.5,0.24,15.55,38.46
14,0.048,1,100.0,100.0,0.0,0.0,54.5,0.22,17.99,42.86
15,0.048,1,100.0,100.0,0.0,0.0,54.5,0.22,20.11,46.67
16,0.05,1,100.0,100.0,0.0,0.0,54.5,0.24,21.94,50.0
17,0.048,1,100.0,100.0,0.0,0.0,54.5,0.22,23.58,52.94
18,0.05,1,100.0,100.0,0.0,0.0,54.5,0.24,25.02,55.56
19,0.048,1,100.0,100.0,0.0,0.0,54.5,0.22,26.32,57.89
20,0.048,1,100.0,100.0,0.0,0.0,54.5,0.22,27.48,60.0
21,0.048,1,100.0,100.0,0.0,0.0,54.5,0.22,28.54,61.9
