Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.067,0,0.0,0.0,0.0,0.0,6.7,6.7,0.0,0.0
2,0.125,0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0
3,0.176,0,0.0,0.0,0.0,0.0,17.6,17.6,0.0,0.0
4,0.214,0,0.0,0.0,0.0,0.0,21.4,21.4,0.0,0.0
5,0.267,0,100.0,0.0,0.0,0.0,26.7,26.7,0.0,0.0
6,0.333,0,100.0,0.0,0.0,0.0,33.3,33.3,0.0,0.0
7,0.125,0,100.0,0.0,0.0,0.0,33.3,2.89,2.97,0.0
8,0.125,0,100.0,0.0,0.0,0.0,33.3,2.89,5.2,12.5
9,0.188,0,100.0,0.0,0.0,0.0,33.3,5.85,6.23,11.11
10,0.267,0,100.0,0.0,0.0,0.0,33.3,10.44,6.27,10.0
11,0.267,0,100.0,0.0,0.0,0.0,33.3,10.44,6.3,18.18
12,0.467,0,100.0,0.0,0.0,0.0,46.7,24.7,5.77,16.67
13,0.643,0,100.0,100.0,0.0,0.0,64.3,39.04,5.33,15.38
14,0.333,0,100.0,100.0,0.0,0.0,64.3,8.1,7.16,14.29
15,0.125,0,100.0,100.0,0.0,0.0,64.3,0.99,10.14,13.33
16,0.125,0,100.0,100.0,0.0,0.0,64.3,0.99,12.74,18.75
17,0.188,0,100.0,100.0,0.0,0.0,64.3,2.16,14.67,17.65
18,0.125,0,100.0,100.0,0.0,0.0,64.3,0.92,16.73,16.67
19,0.125,0,100.0,100.0,0.0,0.0,64.3,0.92,18.58,21.05
20,0.125,0,100.0,100.0,0.0,0.0,64.3,0.92,20.24,25.0
21,0.133,0,100.0,100.0,0.0,0.0,64.3,1.03,21.7,23.81
22,0.214,0,100.0,100.0,0.0,0.0,64.3,2.56,22.67,22.73
23,0.25,0,100.0,100.0,0.0,0.0,64.3,3.42,23.39,21.74
24,0.25,0,100.0,100.0,0.0,0.0,64.3,3.42,24.05,25.0
25,0.133,0,100.0,100.0,0.0,0.0,64.3,0.91,25.13,24.0
26,0.267,0,100.0,100.0,0.0,0.0,64.3,3.43,25.61,23.08
27,0.214,0,100.0,100.0,0.0,0.0,64.3,2.15,26.25,22.22
28,0.267,0,100.0,100.0,0.0,0.0,64.3,3.26,26.66,21.43
29,0.125,0,100.0,100.0,0.0,0.0,64.3,0.67,27.52,20.69
30,0.267,0,100.0,100.0,0.0,0.0,64.3,2.89,27.86,20.0
31,0.267,0,100.0,100.0,0.0,0.0,64.3,2.89,28.17,22.58
32,0.214,0,100.0,100.0,0.0,0.0,64.3,1.82,28.63,21.88
33,0.125,0,100.0,100.0,0.0,0.0,64.3,0.6,29.34,21.21
34,0.214,0,100.0,100.0,0.0,0.0,64.3,1.7,29.74,20.59
35,0.267,0,100.0,100.0,0.0,0.0,64.3,2.59,29.96,20.0
36,0.267,0,100.0,100.0,0.0,0.0,64.3,2.59,30.17,22.22
