Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2,0.048,1,0.0,0.0,0.0,0.0,4.8,4.8,0.0,50.0
3,0.095,1,0.0,0.0,0.0,0.0,9.5,9.5,0.0,33.33
4,0.136,1,0.0,0.0,0.0,0.0,13.6,13.6,0.0,25.0
5,0.15,1,0.0,0.0,0.0,0.0,15.0,15.0,0.0,20.0
6,0.19,1,0.0,0.0,0.0,0.0,19.0,19.0,0.0,16.67
7,0.238,1,0.0,0.0,0.0,0.0,23.8,23.8,0.0,14.29
8,0.227,1,0.0,0.0,0.0,0.0,23.8,20.69,0.14,12.5
9,0.273,1,100.0,0.0,0.0,0.0,27.3,25.26,0.12,11.11
10,0.273,1,100.0,0.0,0.0,0.0,27.3,25.26,0.11,20.0
11,0.273,1,100.0,0.0,0.0,0.0,27.3,25.26,0.1,27.27
12,0.35,1,100.0,0.0,0.0,0.0,35.0,32.93,0.09,25.0
13,0.318,1,100.0,0.0,0.0,0.0,35.0,25.03,0.33,23.08
14,0.4,1,100.0,0.0,0.0,0.0,40.0,32.92,0.31,21.43
15,0.455,1,100.0,0.0,0.0,0.0,45.5,38.27,0.29,20.0
16,0.476,1,100.0,0.0,0.0,0.0,47.6,40.32,0.27,18.75
17,0.455,1,100.0,0.0,0.0,0.0,47.6,35.51,0.38,17.65
18,0.542,1,100.0,100.0,0.0,0.0,54.2,43.85,0.36,16.67
19,0.636,1,100.0,100.0,0.0,0.0,63.6,52.94,0.34,15.79
20,0.636,1,100.0,100.0,0.0,0.0,63.6,52.94,0.32,20.0
21,0.636,1,100.0,100.0,0.0,0.0,63.6,52.94,0.3,23.81
22,0.7,1,100.0,100.0,0.0,0.0,70.0,59.18,0.29,22.73
23,0.727,1,100.0,100.0,0.0,0.0,72.7,61.82,0.28,21.74
24,0.75,1,100.0,100.0,100.0,0.0,75.0,64.07,0.27,20.83
25,0.773,1,100.0,100.0,100.0,0.0,77.3,66.32,0.26,20.0
26,0.857,1,100.0,100.0,100.0,0.0,85.7,74.56,0.25,19.23
27,0.864,1,100.0,100.0,100.0,0.0,86.4,75.25,0.24,18.52
28,0.9,1,100.0,100.0,100.0,0.0,90.0,78.79,0.23,17.86
29,1.0,1,100.0,100.0,100.0,100.0,100.0,88.65,0.22,17.24
