Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.034,0,0.0,0.0,0.0,0.0,3.4,3.4,0.0,0.0
2,0.036,0,0.0,0.0,0.0,0.0,3.6,3.6,0.0,50.0
3,0.071,0,0.0,0.0,0.0,0.0,7.1,7.1,0.0,33.33
4,0.077,0,0.0,0.0,0.0,0.0,7.7,7.7,0.0,25.0
5,0.111,0,0.0,0.0,0.0,0.0,11.1,11.1,0.0,20.0
6,0.172,0,0.0,0.0,0.0,0.0,17.2,17.2,0.0,16.67
7,0.192,0,0.0,0.0,0.0,0.0,19.2,19.2,0.0,14.29
8,0.167,0,0.0,0.0,0.0,0.0,19.2,12.85,0.31,12.5
9,0.192,0,0.0,0.0,0.0,0.0,19.2,15.23,0.28,11.11
10,0.214,0,0.0,0.0,0.0,0.0,21.4,17.35,0.25,10.0
11,0.25,0,100.0,0.0,0.0,0.0,25.0,20.83,0.23,9.09
12,0.357,0,100.0,0.0,0.0,0.0,35.7,31.31,0.21,8.33
13,0.393,0,100.0,0.0,0.0,0.0,39.3,34.86,0.19,7.69
14,0.4,0,100.0,0.0,0.0,0.0,40.0,35.56,0.18,7.14
15,0.429,0,100.0,0.0,0.0,0.0,42.9,38.42,0.17,6.67
16,0.464,0,100.0,0.0,0.0,0.0,46.4,41.89,0.16,6.25
17,0.5,0,100.0,100.0,0.0,0.0,50.0,45.45,0.15,5.88
18,0.5,0,100.0,100.0,0.0,0.0,50.0,45.45,0.14,11.11
19,0.536,0,100.0,100.0,0.0,0.0,53.6,49.03,0.13,10.53
20,0.586,0,100.0,100.0,0.0,0.0,58.6,53.99,0.13,10.0
21,0.621,0,100.0,100.0,0.0,0.0,62.1,57.47,0.12,9.52
22,0.621,0,100.0,100.0,0.0,0.0,62.1,57.47,0.11,13.64
23,0.655,0,100.0,100.0,0.0,0.0,65.5,60.85,0.11,13.04
24,0.75,0,100.0,100.0,100.0,0.0,75.0,70.31,0.1,12.5
25,0.741,0,100.0,100.0,100.0,0.0,75.0,67.87,0.14,12.0
26,0.75,0,100.0,100.0,100.0,0.0,75.0,68.77,0.13,11.54
27,0.75,0,100.0,100.0,100.0,0.0,75.0,68.77,0.13,14.81
28,0.75,0,100.0,100.0,100.0,0.0,75.0,68.77,0.12,17.86
29,0.793,0,100.0,100.0,100.0,0.0,79.3,73.04,0.12,17.24
30,0.815,0,100.0,100.0,100.0,0.0,81.5,75.22,0.11,16.67
31,0.833,0,100.0,100.0,100.0,0.0,83.3,77.01,0.11,16.13
