Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.05,0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
2,0.111,0,0.0,0.0,0.0,0.0,11.1,11.1,0.0,0.0
3,0.15,0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0
4,0.167,0,0.0,0.0,0.0,0.0,16.7,16.7,0.0,0.0
5,0.167,0,0.0,0.0,0.0,0.0,16.7,16.7,0.0,20.0
6,0.227,0,0.0,0.0,0.0,0.0,22.7,22.7,0.0,16.67
7,0.227,0,0.0,0.0,0.0,0.0,22.7,22.7,0.0,28.57
8,0.227,0,0.0,0.0,0.0,0.0,22.7,22.7,0.0,37.5
9,0.227,0,0.0,0.0,0.0,0.0,22.7,22.7,0.0,44.44
10,0.333,0,100.0,0.0,0.0,0.0,33.3,33.3,0.0,40.0
11,0.318,0,100.0,0.0,0.0,0.0,33.3,29.06,0.14,36.36
12,0.35,0,100.0,0.0,0.0,0.0,35.0,32.24,0.13,33.33
13,0.261,0,100.0,0.0,0.0,0.0,35.0,14.52,0.8,30.77
14,0.227,0,100.0,0.0,0.0,0.0,35.0,10.24,1.62,28.57
15,0.143,0,100.0,0.0,0.0,0.0,35.0,3.48,2.89,26.67
16,0.182,0,100.0,0.0,0.0,0.0,35.0,5.29,3.76,25.0
17,0.182,0,100.0,0.0,0.0,0.0,35.0,5.29,4.53,29.41
18,0.182,0,100.0,0.0,0.0,0.0,35.0,5.29,5.21,33.33
19,0.143,0,100.0,0.0,0.0,0.0,35.0,3.08,6.03,31.58
20,0.143,0,100.0,0.0,0.0,0.0,35.0,3.08,6.76,35.0
21,0.13,0,100.0,0.0,0.0,0.0,35.0,2.49,7.49,33.33
22,0.143,0,100.0,0.0,0.0,0.0,35.0,2.96,8.09,31.82
23,0.143,0,100.0,0.0,0.0,0.0,35.0,2.96,8.63,34.78
24,0.143,0,100.0,0.0,0.0,0.0,35.0,2.96,9.14,37.5
25,0.15,0,100.0,0.0,0.0,0.0,35.0,3.22,9.57,36.0
26,0.182,0,100.0,0.0,0.0,0.0,35.0,4.54,9.85,34.62
27,0.19,0,100.0,0.0,0.0,0.0,35.0,4.89,10.08,33.33
28,0.182,0,100.0,0.0,0.0,0.0,35.0,4.44,10.32,32.14
29,0.182,0,100.0,0.0,0.0,0.0,35.0,4.44,10.54,34.48
30,0.182,0,100.0,0.0,0.0,0.0,35.0,4.44,10.75,36.67
31,0.227,0,100.0,0.0,0.0,0.0,35.0,6.51,10.8,35.48
32,0.182,0,100.0,0.0,0.0,0.0,35.0,3.96,10.99,34.38
33,0.143,0,100.0,0.0,0.0,0.0,35.0,2.34,11.28,33.33
34,0.13,0,100.0,0.0,0.0,0.0,35.0,1.9,11.6,32.35
35,0.143,0,100.0,0.0,0.0,0.0,35.0,2.27,11.86,31.43
36,0.095,0,100.0,0.0,0.0,0.0,35.0,0.95,12.24,30.56
37,0.095,0,100.0,0.0,0.0,0.0,35.0,0.95,12.59,32.43
38,0.095,0,100.0,0.0,0.0,0.0,35.0,0.95,12.93,34.21
39,0.143,0,100.0,0.0,0.0,0.0,35.0,2.05,13.13,33.33
40,0.143,0,100.0,0.0,0.0,0.0,35.0,2.05,13.32,35.0
41,0.143,0,100.0,0.0,0.0,0.0,35.0,2.05,13.5,36.59
42,0.13,0,100.0,0.0,0.0,0.0,35.0,1.67,13.7,35.71
43,0.143,0,100.0,0.0,0.0,0.0,35.0,2.0,13.87,34.88
44,0.105,0,100.0,0.0,0.0,0.0,35.0,1.04,14.11,34.09
45,0.143,0,100.0,0.0,0.0,0.0,35.0,1.86,14.26,33.33
46,0.182,0,100.0,0.0,0.0,0.0,35.0,2.91,14.31,32.61
47,0.182,0,100.0,0.0,0.0,0.0,35.0,2.91,14.36,34.04
48,0.217,0,100.0,0.0,0.0,0.0,35.0,4.01,14.34,33.33
49,0.227,0,100.0,0.0,0.0,0.0,35.0,4.36,14.3,32.65
50,0.182,0,100.0,0.0,0.0,0.0,35.0,2.7,14.35,32.0
51,0.143,0,100.0,0.0,0.0,0.0,35.0,1.61,14.47,31.37
52,0.143,0,100.0,0.0,0.0,0.0,35.0,1.61,14.59,32.69
53,0.05,0,100.0,0.0,0.0,0.0,35.0,0.18,14.88,32.08
54,0.095,0,100.0,0.0,0.0,0.0,35.0,0.64,15.08,31.48
55,0.143,0,100.0,0.0,0.0,0.0,35.0,1.41,15.18,30.91
56,0.15,0,100.0,0.0,0.0,0.0,35.0,1.54,15.27,30.36
57,0.143,0,100.0,0.0,0.0,0.0,35.0,1.39,15.36,29.82
58,0.143,0,100.0,0.0,0.0,0.0,35.0,1.39,15.46,31.03
59,0.143,0,100.0,0.0,0.0,0.0,35.0,1.39,15.55,32.2
60,0.15,0,100.0,0.0,0.0,0.0,35.0,1.53,15.62,31.67
61,0.182,0,100.0,0.0,0.0,0.0,35.0,2.2,15.64,31.15
62,0.227,0,100.0,0.0,0.0,0.0,35.0,3.32,15.59,30.65
63,0.227,0,100.0,0.0,0.0,0.0,35.0,3.32,15.53,31.75
64,0.182,0,100.0,0.0,0.0,0.0,35.0,2.08,15.55,31.25
65,0.15,0,100.0,0.0,0.0,0.0,35.0,1.38,15.62,30.77
66,0.143,0,100.0,0.0,0.0,0.0,35.0,1.25,15.7,30.3
67,0.143,0,100.0,0.0,0.0,0.0,35.0,1.25,15.77,31.34
68,0.143,0,100.0,0.0,0.0,0.0,35.0,1.25,15.85,32.35
69,0.143,0,100.0,0.0,0.0,0.0,35.0,1.25,15.92,33.33
70,0.143,0,100.0,0.0,0.0,0.0,35.0,1.25,15.98,34.29
