Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.032,1,0.0,0.0,0.0,0.0,3.2,3.2,0.0,0.0
2,0.062,1,0.0,0.0,0.0,0.0,6.2,6.2,0.0,0.0
3,0.062,1,0.0,0.0,0.0,0.0,6.2,6.2,0.0,33.33
4,0.103,1,0.0,0.0,0.0,0.0,10.3,10.3,0.0,25.0
5,0.129,1,0.0,0.0,0.0,0.0,12.9,12.9,0.0,20.0
6,0.161,1,0.0,0.0,0.0,0.0,16.1,16.1,0.0,16.67
7,0.188,1,0.0,0.0,0.0,0.0,18.8,18.8,0.0,14.29
8,0.194,1,0.0,0.0,0.0,0.0,19.4,19.4,0.0,12.5
9,0.212,1,0.0,0.0,0.0,0.0,21.2,21.2,0.0,11.11
10,0.241,1,0.0,0.0,0.0,0.0,24.1,24.1,0.0,10.0
11,0.29,1,100.0,0.0,0.0,0.0,29.0,29.0,0.0,9.09
12,0.241,1,100.0,0.0,0.0,0.0,29.0,17.13,0.41,8.33
13,0.29,1,100.0,0.0,0.0,0.0,29.0,21.68,0.38,7.69
14,0.29,1,100.0,0.0,0.0,0.0,29.0,21.68,0.35,14.29
15,0.323,1,100.0,0.0,0.0,0.0,32.3,24.78,0.33,13.33
16,0.367,1,100.0,0.0,0.0,0.0,36.7,28.97,0.31,12.5
17,0.419,1,100.0,0.0,0.0,0.0,41.9,33.96,0.29,11.76
18,0.452,1,100.0,0.0,0.0,0.0,45.2,37.15,0.27,11.11
19,0.484,1,100.0,0.0,0.0,0.0,48.4,40.25,0.26,10.53
20,0.484,1,100.0,0.0,0.0,0.0,48.4,40.25,0.25,15.0
21,0.516,1,100.0,100.0,0.0,0.0,51.6,43.36,0.23,14.29
22,0.516,1,100.0,100.0,0.0,0.0,51.6,43.36,0.22,18.18
23,0.581,1,100.0,100.0,0.0,0.0,58.1,49.71,0.21,17.39
24,0.594,1,100.0,100.0,0.0,0.0,59.4,50.99,0.2,16.67
25,0.594,1,100.0,100.0,0.0,0.0,59.4,50.99,0.2,20.0
26,0.621,1,100.0,100.0,0.0,0.0,62.1,53.64,0.19,19.23
27,0.621,1,100.0,100.0,0.0,0.0,62.1,53.64,0.18,22.22
28,0.613,1,100.0,100.0,0.0,0.0,62.1,51.69,0.2,21.43
29,0.621,1,100.0,100.0,0.0,0.0,62.1,52.47,0.2,20.69
30,0.621,1,100.0,100.0,0.0,0.0,62.1,52.47,0.19,23.33
31,0.625,1,100.0,100.0,0.0,0.0,62.5,52.86,0.18,25.81
32,0.656,1,100.0,100.0,0.0,0.0,65.6,55.89,0.18,25.0
33,0.677,1,100.0,100.0,0.0,0.0,67.7,57.94,0.17,24.24
34,0.719,1,100.0,100.0,0.0,0.0,71.9,62.06,0.17,23.53
35,0.719,1,100.0,100.0,0.0,0.0,71.9,62.06,0.16,25.71
36,0.719,1,100.0,100.0,0.0,0.0,71.9,62.06,0.16,27.78
37,0.719,1,100.0,100.0,0.0,0.0,71.9,62.06,0.15,29.73
38,0.781,1,100.0,100.0,100.0,0.0,78.1,68.15,0.15,28.95
39,0.812,1,100.0,100.0,100.0,0.0,81.2,71.2,0.15,28.21
40,0.812,1,100.0,100.0,100.0,0.0,81.2,71.2,0.14,30.0
41,0.844,1,100.0,100.0,100.0,0.0,84.4,74.36,0.14,29.27
42,0.871,1,100.0,100.0,100.0,0.0,87.1,77.02,0.14,28.57
43,0.871,1,100.0,100.0,100.0,0.0,87.1,77.02,0.13,30.23
44,0.871,1,100.0,100.0,100.0,0.0,87.1,77.02,0.13,31.82
45,0.871,1,100.0,100.0,100.0,0.0,87.1,77.02,0.13,33.33
46,0.906,1,100.0,100.0,100.0,0.0,90.6,80.47,0.12,32.61
47,0.935,1,100.0,100.0,100.0,0.0,93.5,83.34,0.12,31.91
48,0.935,1,100.0,100.0,100.0,0.0,93.5,83.34,0.12,33.33
49,0.939,1,100.0,100.0,100.0,0.0,93.9,83.73,0.12,34.69
