Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.111,1,0.0,0.0,0.0,0.0,11.1,11.1,0.0,0.0
2,0.111,1,0.0,0.0,0.0,0.0,11.1,11.1,0.0,50.0
3,0.111,1,0.0,0.0,0.0,0.0,11.1,11.1,0.0,66.67
4,0.2,1,0.0,0.0,0.0,0.0,20.0,20.0,0.0,50.0
5,0.2,1,0.0,0.0,0.0,0.0,20.0,20.0,0.0,60.0
6,0.222,1,0.0,0.0,0.0,0.0,22.2,22.2,0.0,50.0
7,0.3,1,100.0,0.0,0.0,0.0,30.0,30.0,0.0,42.86
8,0.2,1,100.0,0.0,0.0,0.0,30.0,10.0,1.25,37.5
9,0.333,1,100.0,0.0,0.0,0.0,33.3,20.8,1.11,33.33
10,0.333,1,100.0,0.0,0.0,0.0,33.3,20.8,1.0,40.0
11,0.333,1,100.0,0.0,0.0,0.0,33.3,20.8,0.91,45.45
12,0.25,1,100.0,0.0,0.0,0.0,33.3,10.15,1.53,41.67
13,0.3,1,100.0,0.0,0.0,0.0,33.3,13.51,1.66,38.46
14,0.222,1,100.0,0.0,0.0,0.0,33.3,6.62,2.34,35.71
15,0.333,1,100.0,0.0,0.0,0.0,33.3,12.97,2.18,33.33
16,0.5,1,100.0,100.0,0.0,0.0,50.0,24.46,2.04,31.25
17,0.5,1,100.0,100.0,0.0,0.0,50.0,24.46,1.92,35.29
18,0.5,1,100.0,100.0,0.0,0.0,50.0,24.46,1.82,38.89
