Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.125,0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0
2,0.125,0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,50.0
3,0.125,0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,66.67
4,0.125,0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,75.0
5,0.286,0,100.0,0.0,0.0,0.0,28.6,28.6,0.0,60.0
6,0.25,0,100.0,0.0,0.0,0.0,28.6,19.41,0.6,50.0
7,0.5,0,100.0,100.0,0.0,0.0,50.0,43.71,0.51,42.86
8,0.5,0,100.0,100.0,0.0,0.0,50.0,43.71,0.45,50.0
9,0.5,0,100.0,100.0,0.0,0.0,50.0,43.71,0.4,55.56
10,0.5,0,100.0,100.0,0.0,0.0,50.0,43.71,0.36,60.0
11,0.375,0,100.0,100.0,0.0,0.0,50.0,20.18,1.46,54.55
12,0.25,0,100.0,100.0,0.0,0.0,50.0,7.6,3.42,50.0
13,0.25,0,100.0,100.0,0.0,0.0,50.0,7.6,5.08,53.85
14,0.333,0,100.0,100.0,0.0,0.0,50.0,12.25,5.91,50.0
15,0.333,0,100.0,100.0,0.0,0.0,50.0,12.25,6.63,53.33
16,0.375,0,100.0,100.0,0.0,0.0,50.0,14.85,7.0,50.0
17,0.333,0,100.0,100.0,0.0,0.0,50.0,11.21,7.57,47.06
18,0.333,0,100.0,100.0,0.0,0.0,50.0,11.21,8.08,50.0
19,0.667,0,100.0,100.0,0.0,0.0,66.7,33.63,7.65,47.37
20,0.667,0,100.0,100.0,0.0,0.0,66.7,33.63,7.27,50.0
21,0.778,0,100.0,100.0,100.0,0.0,77.8,42.21,6.92,47.62
22,0.286,0,100.0,100.0,100.0,0.0,77.8,4.25,8.85,45.45
23,0.375,0,100.0,100.0,100.0,0.0,77.8,6.98,10.21,43.48
24,0.286,0,100.0,100.0,100.0,0.0,77.8,3.89,11.84,41.67
25,0.333,0,100.0,100.0,100.0,0.0,77.8,5.16,13.14,40.0
26,0.25,0,100.0,100.0,100.0,0.0,77.8,2.8,14.67,38.46
27,0.111,0,100.0,100.0,100.0,0.0,77.8,0.52,16.6,37.04
