Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.091,0,0.0,0.0,0.0,0.0,9.1,9.1,0.0,0.0
2,0.2,0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0
3,0.182,0,0.0,0.0,0.0,0.0,20.0,15.19,0.6,0.0
4,0.182,0,0.0,0.0,0.0,0.0,20.0,15.19,0.9,25.0
5,0.182,0,0.0,0.0,0.0,0.0,20.0,15.19,1.08,40.0
6,0.273,0,100.0,0.0,0.0,0.0,27.3,24.12,0.9,33.33
7,0.25,0,100.0,0.0,0.0,0.0,27.3,18.83,1.1,28.57
8,0.273,0,100.0,0.0,0.0,0.0,27.3,20.99,0.96,25.0
9,0.182,0,100.0,0.0,0.0,0.0,27.3,7.43,1.87,22.22
10,0.273,0,100.0,0.0,0.0,0.0,27.3,13.88,1.68,20.0
11,0.182,0,100.0,0.0,0.0,0.0,27.3,5.27,2.35,18.18
12,0.182,0,100.0,0.0,0.0,0.0,27.3,5.27,2.92,25.0
13,0.182,0,100.0,0.0,0.0,0.0,27.3,5.27,3.39,30.77
14,0.182,0,100.0,0.0,0.0,0.0,27.3,5.27,3.8,35.71
15,0.182,0,100.0,0.0,0.0,0.0,27.3,5.27,4.15,40.0
16,0.182,0,100.0,0.0,0.0,0.0,27.3,5.27,4.46,43.75
17,0.182,0,100.0,0.0,0.0,0.0,27.3,5.27,4.74,47.06
18,0.182,0,100.0,0.0,0.0,0.0,27.3,5.27,4.98,50.0
19,0.182,0,100.0,0.0,0.0,0.0,27.3,5.27,5.19,52.63
20,0.182,0,100.0,0.0,0.0,0.0,27.3,5.27,5.39,55.0
21,0.182,0,100.0,0.0,0.0,0.0,27.3,5.27,5.57,57.14
22,0.273,0,100.0,0.0,0.0,0.0,27.3,10.37,5.31,54.55
23,0.273,0,100.0,0.0,0.0,0.0,27.3,10.37,5.08,56.52
24,0.182,0,100.0,0.0,0.0,0.0,27.3,4.09,5.25,54.17
25,0.182,0,100.0,0.0,0.0,0.0,27.3,4.09,5.4,56.0
26,0.182,0,100.0,0.0,0.0,0.0,27.3,4.09,5.55,57.69
27,0.182,0,100.0,0.0,0.0,0.0,27.3,4.09,5.68,59.26
28,0.182,0,100.0,0.0,0.0,0.0,27.3,4.09,5.8,60.71
29,0.182,0,100.0,0.0,0.0,0.0,27.3,4.09,5.91,62.07
30,0.182,0,100.0,0.0,0.0,0.0,27.3,4.09,6.02,63.33
31,0.182,0,100.0,0.0,0.0,0.0,27.3,4.09,6.12,64.52
32,0.182,0,100.0,0.0,0.0,0.0,27.3,4.09,6.21,65.62
33,0.182,0,100.0,0.0,0.0,0.0,27.3,4.09,6.3,66.67
34,0.182,0,100.0,0.0,0.0,0.0,27.3,4.09,6.38,67.65
35,0.182,0,100.0,0.0,0.0,0.0,27.3,4.09,6.46,68.57
36,0.182,0,100.0,0.0,0.0,0.0,27.3,4.09,6.53,69.44
37,0.182,0,100.0,0.0,0.0,0.0,27.3,4.09,6.6,70.27
38,0.273,0,100.0,0.0,0.0,0.0,27.3,8.27,6.43,68.42
39,0.273,0,100.0,0.0,0.0,0.0,27.3,8.27,6.26,69.23
40,0.182,0,100.0,0.0,0.0,0.0,27.3,3.34,6.33,67.5
