Step,StepProgress,EpisodeSuccess,M25,M50,M75,M100,MP,PPL,CRA,STR
1,0.067,0,0.0,0.0,0.0,0.0,6.7,6.7,0.0,0.0
2,0.133,0,0.0,0.0,0.0,0.0,13.3,13.3,0.0,0.0
3,0.231,0,0.0,0.0,0.0,0.0,23.1,23.1,0.0,0.0
4,0.25,0,100.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0
5,0.385,0,100.0,0.0,0.0,0.0,38.5,38.5,0.0,0.0
6,0.462,0,100.0,0.0,0.0,0.0,46.2,46.2,0.0,0.0
7,0.462,0,100.0,0.0,0.0,0.0,46.2,46.2,0.0,14.29
8,0.538,0,100.0,100.0,0.0,0.0,53.8,53.8,0.0,12.5
9,0.857,0,100.0,100.0,100.0,0.0,85.7,85.7,0.0,11.11
10,0.75,0,100.0,100.0,100.0,0.0,85.7,58.35,1.07,10.0
11,0.875,0,100.0,100.0,100.0,0.0,87.5,70.31,0.97,9.09
12,0.75,0,100.0,100.0,100.0,0.0,87.5,46.33,1.93,8.33
13,0.733,0,100.0,100.0,100.0,0.0,87.5,43.65,2.88,7.69
14,0.75,0,100.0,100.0,100.0,0.0,87.5,45.07,3.56,7.14
15,0.75,0,100.0,100.0,100.0,0.0,87.5,45.07,4.16,13.33
16,0.75,0,100.0,100.0,100.0,0.0,87.5,45.07,4.68,18.75
17,0.812,0,100.0,100.0,100.0,0.0,87.5,50.33,4.78,17.65
18,0.75,0,100.0,100.0,100.0,0.0,87.5,41.0,5.21,16.67
19,0.75,0,100.0,100.0,100.0,0.0,87.5,41.0,5.59,21.05
20,0.75,0,100.0,100.0,100.0,0.0,87.5,41.0,5.93,25.0
21,0.857,0,100.0,100.0,100.0,0.0,87.5,49.66,5.74,23.81
22,0.75,0,100.0,100.0,100.0,0.0,87.5,35.47,6.05,22.73
23,0.75,0,100.0,100.0,100.0,0.0,87.5,35.47,6.33,26.09
24,0.75,0,100.0,100.0,100.0,0.0,87.5,35.47,6.58,29.17
25,0.733,0,100.0,100.0,100.0,0.0,87.5,33.52,6.89,28.0
26,0.75,0,100.0,100.0,100.0,0.0,87.5,34.72,7.1,26.92
27,0.75,0,100.0,100.0,100.0,0.0,87.5,34.72,7.3,29.63
28,0.857,0,100.0,100.0,100.0,0.0,87.5,42.53,7.11,28.57
29,0.857,0,100.0,100.0,100.0,0.0,87.5,42.53,6.92,31.03
30,0.75,0,100.0,100.0,100.0,0.0,87.5,30.67,7.11,30.0
31,0.75,0,100.0,100.0,100.0,0.0,87.5,30.67,7.28,32.26
32,0.75,0,100.0,100.0,100.0,0.0,87.5,30.67,7.45,34.38
33,0.75,0,100.0,100.0,100.0,0.0,87.5,30.67,7.6,36.36
34,0.75,0,100.0,100.0,100.0,0.0,87.5,30.67,7.74,38.24
35,0.857,0,100.0,100.0,100.0,0.0,87.5,37.84,7.57,37.14
36,0.857,0,100.0,100.0,100.0,0.0,87.5,37.84,7.41,38.89
37,0.75,0,100.0,100.0,100.0,0.0,87.5,27.47,7.55,37.84
38,0.75,0,100.0,100.0,100.0,0.0,87.5,27.47,7.68,39.47
39,0.75,0,100.0,100.0,100.0,0.0,87.5,27.47,7.81,41.03
40,0.75,0,100.0,100.0,100.0,0.0,87.5,27.47,7.92,42.5
